gt4py:gtmc,gt4py:gtcuda,gt4py:gtx86
21.64166086027399,4.6936301661189646,23.610104681458324
21.456705478718504,4.689647076185793,23.704945084173232
21.58209522208199,4.7371458229608825,23.68131490028464
21.619100957410414,4.747871471801774,23.76989427418448
21.56914988998324,4.6759755972307175,23.55502368812449
21.601280964910984,4.74808541033417,23.60753119038418
21.67569748684764,4.763255355646834,23.83295559929684
21.603879590518776,4.738355633104219,23.865722569636997
21.56741432962008,4.729649072047323,23.75070903380401
21.519740924937647,4.767683482496069,23.63307066541165
