gt4py:gtx86,gt4py:gtmc,numba:cpu:numpy,cupy,gt4py:gtcuda,numpy
16.276548532303423,10.447623858228326,35.581774611608125,11.924176059896126,4.820436960901134,601.6102991325315
16.336302691022865,10.41278480773326,35.514928706455976,11.923288582882378,4.867659023031592,611.6657689220156
16.479938007541932,10.344824377913028,35.54140527773416,11.933943572279532,4.836378808016889,611.975001494633
16.27752693265211,10.411841201363131,35.680589331372175,11.91956635186216,4.852640681841876,
16.488202036125585,10.379863625508731,35.55877501680516,11.880866191349924,4.8233931622235104,
16.23009150091093,10.39139010303188,35.52581723954063,11.932126163796056,4.863616094226018,
16.22674462303985,10.339307768270372,35.58224993204931,11.883417925913818,4.81666803144617,
16.357453377218917,10.376889882725663,35.55117940175114,11.939992461935615,4.744052553840447,
16.15793169673998,10.295876655261964,35.612794818065595,11.926669733016752,4.833436264190823,
16.378146384842694,10.388784996466711,35.535303082549945,11.923543137905654,4.841078696830664,
16.43861852947157,10.46664510818664,,,,
16.239191172935534,10.37475998303853,,,,
16.324342976266053,10.391896071960218,,,,
16.606612680014223,10.339607058966068,,,,
16.34906937496271,10.47974206606159,,,,
16.309163735772017,10.431230741960462,,,,
16.354595031763893,10.405978959985076,,,,
16.38161250919802,10.380332927859854,,,,
16.49374582845485,10.455183983198369,,,,
16.252847454627044,10.369223648274785,,,,
