,ncalls,total_call_time,total_run_time,total_run_cpp_time
_stencil_gt4py____gtcuda_45fa125417,303.0,0.061210628889966756,0.044879701163154095,0.01713252067565918
_stencil_gt4py____gtcuda_8d5a3e23ae,303.0,0.4682779316790402,0.45486789842834696,0.019144296646118164
_kessler_gt4py____gtcuda_2022cd3ac9,303.0,0.14532868179958314,0.11690878140507266,0.031024932861328125
_saturation_prognostic_gt4py____gtcuda_987e4b8ba1,303.0,0.1571661103516817,0.1432818864705041,0.024692535400390625
copy_gt4py____gtcuda_a28f01dca4,1515.0,0.13424308883259073,0.08650995272910222,0.050814151763916016
_stencil_gt4py____gtcuda_183c0085b0,303.0,0.5280243542511016,0.5095014233374968,0.03881096839904785
_fall_velocity_gt4py____gtcuda_9bd8338835,404.0,0.14170010236557573,0.11938389966962859,0.02251458168029785
_sedimentation_gt4py____gtcuda_af7e18d2eb,303.0,0.11540049297036603,0.10219527123263106,0.019666433334350586
_diagnose_density_gt4py____gtcuda_4b4d32d856,909.0,0.14321395847946405,0.1053945457097143,0.04007267951965332
step_forward_euler_gt4py____gtcuda_58c39ce21b,303.0,0.9311338121187873,0.9032530182157643,0.05542278289794922
irelax_gt4py____gtcuda_0eed80f13b,3327.0,0.5307450434193015,0.40474390424788,0.14323043823242188
_montgomery_gt4py____gtcuda_6be125326c,303.0,0.5109431674936786,0.11861378332832828,0.017228126525878906
step_forward_euler_momentum_gt4py____gtcuda_92f86bc1f5,303.0,0.5735470522195101,0.5466371090733446,0.044912099838256836
_diagnose_mass_fraction_gt4py____gtcuda_e2f0d44035,909.0,0.14989643171429634,0.10838530940236524,0.041322946548461914
_diagnose_velocity_x_gt4py____gtcuda_e0cf755f83,404.0,0.06265480653382838,0.04818815499311313,0.018264293670654297
_diagnose_velocity_y_gt4py____gtcuda_a0d4839917,404.0,0.06265298958169296,0.048397735168691725,0.017518043518066406
_diagnostic_variables_gt4py____gtcuda_f0a0200749,303.0,0.6091186347184703,0.199499562906567,0.02623152732849121
_density_and_temperature_gt4py____gtcuda_6761ec92fc,303.0,0.08836454502306879,0.06841684621758759,0.021002531051635742
_damping_gt4py____gtcuda_a83d533f04,303.0,0.05971601291093975,0.043391300190705806,0.01822209358215332
_accumulated_precipitation_gt4py____gtcuda_543bfca27c,101.0,0.011145685100927949,0.006309923075605184,0.004563570022583008
_smoothing_gt4py____gtcuda_e899d53aeb,303.0,0.05388612666865811,0.039142136520240456,0.01349496841430664
