gt4py:gtx86,gt4py:gtmc,cupy,gt4py:gtcuda
34.91348948469385,33.99208980042022,12.908076455118135,5.507500048377551
34.9016801957041,33.92171768040862,12.943036468932405,5.558895381051116
34.81935688678641,34.03884301427752,12.964861861080866,5.503251873422414
34.983018746366724,34.05547932942864,12.965300822863355,5.518471061834134
35.016053957748234,33.894241246860474,12.925337009481153,5.5698535402771086
35.076822148403146,33.96336402243469,12.907487542252055,5.5106551555218175
34.79248372092843,34.12652895832434,12.926701694610527,5.506798879359849
35.08085895853583,34.03574592154473,12.949785788776353,5.56635709956754
34.79384213383309,34.07927873078734,12.95169163949322,5.512290556333028
34.795023133628995,34.040948027861305,12.930292063043456,5.509063878795132
